ID,Sex,Age
S14-1-0005,2,39
S14-1-0006,2,41
S14-1-0007,1,43
S14-1-0008,1,40
S14-1-0009,2,43
S14-1-0010,2,24
S14-1-0011,1,19
S14-1-0012,1,37
S14-1-0013,1,20
S14-1-0014,2,34
S14-1-0015,2,23
S14-1-0016,2,34
S14-1-0017,1,38
S14-1-0018,1,24
S14-1-0019,2,32
S14-1-0020,2,35
S14-1-0021,1,44
S14-1-0022,2,34
S14-1-0023,1,45
S14-1-0024,1,28
S14-1-0025,2,31
S14-1-0026,2,37
S14-1-0027,2,27
S14-1-0028,2,20
S14-1-0029,2,26
S14-1-0030,2,18
S14-1-0031,2,29
S14-1-0032,1,20
S14-1-0033,2,34
S14-1-0034,1,31
S14-1-0035,2,30
S14-1-0036,2,27
S14-1-0037,1,29
S14-1-0038,1,32
S14-1-0039,2,26
S14-1-0040,2,31
S14-1-0041,1,20
S14-1-0042,2,27
S14-1-0043,2,32
S14-1-0044,2,26
S14-1-0045,2,26
S14-1-0046,2,31
S14-1-0047,1,34
S14-1-0048,1,24
S14-1-0049,1,26
S14-1-0050,2,24
S14-1-0051,2,39
S14-1-0052,2,27
S14-1-0053,1,27
S14-1-0054,1,41
S14-1-0055,2,27
S14-1-0056,2,32
S14-1-0057,2,23
S14-1-0058,2,21
S14-1-0059,1,40
S14-1-0060,2,29
S14-1-0061,2,22
S14-1-0062,2,26
S14-1-0063,2,23
S14-1-0064,2,35
S15-1-0001,1,42
S15-1-0002,2,68
S15-1-0003,2,63
S15-1-0004,2,14
S15-1-0005,2,19
S15-1-0006,1,28
S15-1-0007,2,48
S15-1-0008,2,66
S15-1-0009,2,65
S15-1-0010,2,56
S15-1-0011,1,44
S15-1-0012,2,62
S15-1-0013,2,67
S15-1-0014,2,15
S15-1-0015,2,60
S15-1-0016,1,47
S15-1-0017,2,35
S15-1-0018,2,43
S15-1-0019,2,58
S15-1-0020,2,54
S15-1-0021,2,59
S15-1-0022,2,51
S15-1-0023,1,27
S15-1-0024,2,51
S15-1-0025,1,17
S15-1-0026,2,36
S15-1-0027,2,59
S15-1-0028,2,63
S15-1-0029,2,54
S15-1-0030,2,56
S15-1-0031,2,53
S15-1-0032,1,25
S15-1-0033,2,41
S15-1-0034,2,37
S15-1-0035,2,48
S15-1-0036,1,58
S15-1-0037,1,57
S15-1-0038,2,60
S15-1-0039,1,50
S15-1-0040,1,16
S15-1-0041,1,21
S15-1-0042,2,53
S15-1-0043,1,29
S15-1-0044,1,52
S15-1-0045,2,59
S15-1-0046,2,39
S15-1-0047,2,55
S15-1-0048,1,61
S15-1-0049,1,48
S15-1-0050,2,57
S16-1-0001,2,38
S16-1-0002,1,18
S16-1-0003,1,35
S16-1-0004,2,28
S16-1-0005,1,35
S16-1-0006,1,29
S16-1-0007,2,19
S16-1-0008,2,24
S16-1-0009,2,35
S16-1-0010,2,24
S16-1-0011,1,25
S16-1-0012,2,21
S16-1-0013,2,33
S16-1-0014,2,20
S16-1-0015,1,18
S16-1-0016,2,41
S16-1-0017,1,32
S16-1-0018,1,26
S16-1-0019,2,24
S16-1-0020,2,24
S16-1-0021,1,28
S16-1-0022,1,38
S16-1-0023,1,21
S16-1-0024,1,31
S16-1-0025,1,37
S16-1-0026,2,44
S16-1-0027,2,41
S16-1-0028,1,40
S16-1-0029,2,43
S16-1-0030,1,37
S16-1-0031,1,54
S17-1-0001,2,23
S17-1-0002,2,19
S17-1-0003,2,25
S17-1-0004,2,26
S17-1-0005,2,22
S17-1-0006,1,20
S17-1-0007,1,25
S17-1-0008,2,19
S17-1-0009,2,29
S17-1-0010,1,21
S17-1-0011,1,15
S17-1-0012,2,19
S17-1-0013,1,20
S17-1-0014,1,21
S17-1-0015,2,30
S17-1-0016,2,21
S17-1-0017,1,26
S17-1-0018,2,22
S17-1-0019,2,17
S17-1-0020,2,18
S17-1-0021,2,18
S17-1-0022,1,20
S17-1-0023,2,21
S17-1-0024,2,19
S17-1-0025,1,16
S17-1-0026,2,21
S17-1-0027,2,19
S17-1-0028,2,20
S17-1-0029,2,20
S17-1-0030,2,25
S17-1-0031,2,15
S17-1-0032,2,17
S17-1-0033,2,26
S17-1-0034,2,22
S17-1-0035,2,21
S17-1-0036,2,19
S17-1-0037,2,20
S17-1-0038,1,21
S17-1-0039,2,17
S17-1-0040,1,22
S17-1-0041,2,19
S17-1-0042,1,18
S17-1-0043,1,21
S17-1-0044,1,20
S17-1-0045,2,20
S17-1-0046,1,25
S17-1-0047,1,26
S18-1-0001,1,29
S18-1-0002,2,38
S18-1-0003,1,24
S18-1-0004,2,26
S18-1-0005,1,27
S18-1-0006,2,33
S18-1-0007,2,32
S18-1-0008,2,18
S18-1-0009,2,40
S18-1-0010,2,35
S18-1-0011,1,25
S18-1-0012,2,28
S18-1-0013,2,28
S18-1-0014,1,27
S18-1-0015,2,41
S18-1-0016,2,24
S18-1-0017,1,26
S18-1-0018,2,40
S18-1-0019,2,40
S18-1-0020,2,42
S18-1-0021,2,37
S19-1-0001,2,36
S19-1-0002,1,29
S19-1-0003,2,38
S19-1-0004,1,21
S19-1-0005,2,43
S19-1-0006,2,42
S19-1-0007,1,38
S19-1-0008,2,51
S19-1-0009,2,32
S19-1-0010,2,21
S19-1-0011,1,54
S19-1-0012,2,36
S19-1-0013,2,51
S19-1-0014,2,20
S19-1-0015,2,52
S19-1-0016,1,51
S19-1-0017,2,32
S19-1-0018,1,24
S19-1-0019,2,37
S19-1-0020,2,59
S19-1-0021,2,45
S19-1-0022,1,30
S19-1-0023,2,24
S19-1-0024,1,37
S19-1-0025,2,48
S19-1-0026,2,40
S19-1-0027,2,47
S19-1-0028,1,31
S19-1-0029,2,19
S19-1-0030,2,49
S19-1-0031,2,43
S19-1-0032,2,46
S19-1-0033,2,50
S19-1-0034,2,27
S19-1-0035,2,51
S19-1-0036,2,24
S19-1-0037,2,45
S19-1-0038,2,50
S19-1-0039,2,52
S19-1-0040,1,21
S19-1-0041,2,43
S19-1-0042,2,31
S19-1-0043,1,28
S19-1-0044,2,30
S19-1-0045,1,40
S19-1-0046,2,40
S19-1-0047,2,45
S19-1-0048,1,24
S19-1-0049,2,44
S19-1-0050,2,62
S19-1-0051,1,18
S20-1-0001,1,26
S20-1-0002,2,26
S20-1-0003,1,43
S20-1-0004,2,24
S20-1-0005,1,65
S20-1-0006,2,43
S20-1-0007,2,41
S20-1-0008,2,41
S20-1-0009,2,59
S20-1-0010,2,67
S20-1-0011,2,32
S20-1-0012,2,56
S20-1-0013,1,46
S20-1-0014,1,43
S20-1-0015,1,55
S20-1-0016,2,28
S20-1-0017,1,38
S20-1-0018,1,41
S20-1-0019,1,24
S20-1-0020,2,23
S20-1-0021,2,58
S20-1-0022,2,24
S20-1-0023,2,48
S20-1-0024,2,21
S20-1-0025,2,33
S20-1-0026,2,39
S20-1-0027,2,35
S20-1-0028,1,25
S20-1-0029,2,27
S20-1-0030,2,41
S20-1-0031,1,31
S20-1-0032,2,53
S20-1-0033,1,42
S20-1-0034,2,33
S20-1-0035,1,18
S20-1-0036,2,55
S20-1-0037,2,57
S20-1-0038,1,40
S20-1-0039,1,28
S20-1-0040,2,29
S20-1-0041,2,25
S20-1-0042,2,41
S20-1-0043,2,30
S20-1-0044,2,40
S20-1-0045,1,55
S20-1-0046,1,55
S20-1-0047,2,39
S20-1-0048,1,33
S20-1-0049,2,28
S20-1-0050,1,57
S20-1-0051,1,21
S20-1-0052,2,41
S20-1-0053,2,41
S20-1-0054,2,27
S20-1-0055,2,50
S20-1-0056,2,26
S20-1-0057,1,37
S20-1-0058,2,51
S20-1-0059,2,42
S20-1-0060,2,25
S20-1-0061,1,63
S20-1-0062,2,39
S20-1-0063,1,18
S20-1-0064,2,31
S20-1-0065,2,60
S20-1-0066,2,57
S20-1-0067,1,61
S20-1-0068,2,47
S20-1-0069,1,19
S20-1-0070,2,27
S20-1-0071,2,27
S20-1-0072,2,57
S20-1-0073,2,36
S20-1-0074,2,48
S20-1-0075,2,47
S20-1-0076,1,43
S20-1-0077,2,30
S20-1-0078,2,24
S20-1-0079,1,29
S20-1-0080,1,48
S20-1-0081,2,45
S20-1-0082,1,43
S20-1-0083,2,46
S20-1-0084,1,21
S20-1-0085,2,46
S20-1-0086,2,26
S20-1-0087,1,34
S20-1-0088,2,39
S20-1-0089,2,42
S20-1-0090,1,54
S20-1-0091,2,51
S20-1-0092,2,33
S20-1-0093,1,49
S20-1-0094,2,60
S20-1-0095,2,50
S20-1-0096,1,26
S20-1-0097,2,33
S20-1-0098,2,49
S20-1-0099,2,33
S20-1-0100,2,22
S20-1-0101,2,48
S20-1-0102,2,60
S20-1-0103,2,38
S20-1-0104,2,58
S20-1-0105,1,25
S20-1-0106,2,48
S20-1-0107,1,34
S20-1-0108,2,59
S20-1-0109,2,18
S20-1-0110,2,50
S20-1-0111,1,62
S20-1-0112,2,34
S20-1-0113,1,31
S20-1-0114,1,19
S20-1-0115,1,59
S20-1-0116,2,64
S20-1-0117,2,45
S20-1-0118,1,49
S20-1-0119,2,43
S20-1-0120,2,30
S20-1-0121,1,44
S20-1-0122,2,45
S20-1-0123,2,43
S20-1-0124,2,45
S20-1-0125,1,17
S20-1-0126,2,21
S20-1-0127,2,43
S20-1-0128,1,22
S20-1-0129,2,16
S20-1-0130,2,40
S20-1-0131,2,48
S20-1-0132,2,31
S20-1-0133,2,37
S20-1-0134,2,37
S20-1-0135,2,31
S20-1-0136,1,29
S20-1-0137,2,56
S20-1-0138,1,37
S20-1-0139,2,57
S20-1-0140,2,31
S20-1-0141,1,37
S20-1-0142,2,63
S20-1-0143,1,24
S20-1-0144,2,55
S20-1-0145,1,25
S20-1-0146,2,74
S20-1-0147,1,62
S20-1-0148,2,30
S20-1-0149,2,30
S20-1-0150,2,31
S20-1-0151,1,46
S20-1-0152,2,30
S20-1-0153,2,30
S20-1-0154,2,31
S20-1-0155,2,47
S20-1-0156,2,77
S20-1-0157,2,24
S20-1-0158,1,26
S20-1-0159,2,17
S20-1-0160,2,51
S20-1-0161,2,29
S20-1-0162,2,30
S20-1-0163,2,51
S20-1-0164,2,29
S20-1-0165,2,24
S20-1-0166,1,36
S20-1-0167,2,57
S20-1-0168,1,44
S20-1-0169,1,40
S20-1-0170,2,20
S20-1-0171,2,30
S20-1-0172,2,42
S20-1-0173,1,58
S20-1-0174,2,32
S20-1-0175,1,43
S20-1-0176,1,30
S20-1-0177,1,30
S20-1-0178,2,47
S20-1-0179,2,44
S20-1-0180,2,23
S20-1-0181,1,24
S20-1-0182,1,43
S20-1-0183,2,49
S20-1-0184,1,25
S20-1-0185,2,50
S20-1-0186,1,43
S20-1-0187,1,43
S20-1-0188,1,31
S20-1-0189,1,25
S20-1-0190,2,50
S20-1-0191,2,29
S20-1-0192,1,19
S20-1-0193,2,49
S20-1-0194,2,58
S20-1-0195,2,50
S20-1-0196,2,37
S20-1-0197,1,38
S20-1-0198,1,23
S20-1-0199,2,41
S20-1-0200,1,71
S20-1-0201,2,26
S20-1-0202,2,71
S20-1-0203,2,50
S20-1-0204,2,19
S20-1-0205,2,31
S20-1-0206,1,32
S20-1-0207,2,23
S20-1-0208,2,39
S20-1-0209,2,25
S20-1-0210,1,24
S20-1-0211,2,23
S20-1-0212,1,45
S20-1-0213,2,21
S20-1-0214,2,35
S20-1-0215,2,43
S20-1-0216,2,21
